EC / List No.,CAS No.,Name,Registration Type,Submission Type,Total Tonnage Band,Dossier ID,Link
423-090-7, ,423-090-7,NONS,Individual Submission,1 + tonnes per annum,DISS-beaca236-39a4-69c9-e044-00144f67d031,Dossier
423-100-1,,423-100-1,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4298420-1fdc-0723-e044-00144f67d031,Dossier
423-110-4,,"disodium 3,3'-[iminobis[sulfonyl-4,1-phenylene-(5-hydroxy-3-methylpyrazole-1,4-diyl)azo-4,1-phenylenesulfonylimino-(4-amino-6-hydroxypyrimidine-2,5-diyl)azo-4,1-phenylenesulfonylimino(4-amino-6-hydroxypyrimidine-2,5-diyl)azo]bis(benzenesulfonate)]",NONS,Individual Submission,Tonnage Data Confidential,DISS-c4271172-68fe-3e49-e044-00144f67d031,Dossier
423-140-8,,423-140-8,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4270cd6-fe1e-3cb0-e044-00144f67d031,Dossier
423-150-2,,tricyclopentylphosphine,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4270c6f-d3f0-3c79-e044-00144f67d031,Dossier
423-170-1,,bis(N-methyl-N-phenyl-hydrazine)sulfate,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4270da6-917a-3cf2-e044-00144f67d031,Dossier
423-200-3,,"A mixture of: Trisodium 4-benzoylamino-6-(6-ethenesulfonyl-1-sulfato-naphthalen-2-ylazo)-5-hydroxynaphthalene-2,7-disulfonate; 5-(benzoylamino)-4-hydroxy-3-((1-sulfo-6-((2-(sulfooxy)ethyl)sulfonyl)-2-naphtyl)azo)naphthalene-2,7-disulfonic acid sodium salt; 5-(benzoylamino)-4-hydroxy-3-((1-sulfo-6-((2-(sulfooxy)ethyl)sulfonyl)-2-naphtyl)azo)naphthalene-2,7-disulfonic acid",NONS,Individual Submission,Tonnage Data Confidential,DISS-c4270a23-dd36-3b4c-e044-00144f67d031,Dossier
423-210-8, ,KBR 3023,NONS,Individual Submission,Tonnage Data Confidential,DISS-beaca464-e7e4-6a51-e044-00144f67d031,Dossier
423-220-2,,"A mixture of: 1,4-diamino-2-chloro-3-phenoxyanthraquinone; 1,4-diamino-2,3-bis-phenoxyanthraquinone",NONS,Individual Submission,Tonnage Data Confidential,DISS-c4271108-6201-3e11-e044-00144f67d031,Dossier
423-230-7,56552-15-9,"4,4'-(oxy-(bismethylene))-bis-1,3-dioxolane",NONS,Individual Submission,Tonnage Data Confidential,DISS-beaca3c5-1e97-6a10-e044-00144f67d031,Dossier
423-240-1,,423-240-1,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4271126-c85f-3e2f-e044-00144f67d031,Dossier
423-260-0,100988-63-4,"(6R-trans)-1-((7-Ammonium-2-carboxylato-8-oxo-5-thia-1-azab_x000D_
icyclo-(4.2.0)oct-2-en-3-yl)methyl)pyridinium iodide",NONS,Individual Submission,Tonnage Data Confidential,DISS-beac9ffc-81c7-6946-e044-00144f67d031,Dossier
423-300-7,911674-82-3,"Amides, castor-oil, hydrogenated, N,N'-[1,3-phenylene-bis(methylene)] bis-",Full,Individual Submission,1 - 10 tonnes per annum,DISS-cfb309b5-ea0c-4aae-e044-00144f67d249,Dossier
423-300-7,,"Reaction products of 12-hydroxyoctadecanoic acid and octadecanoic acid and 1,3-phenylenedimethanamine",Full,Individual Submission,"100 - 1,000 tonnes per annum",DISS-e7627168-f6c6-63fd-e044-00144f67d031,Dossier
423-300-7,,423-300-7,NONS,Individual Submission,Tonnage Data Confidential,DISS-beac9b03-41d3-68ad-e044-00144f67d031,Dossier
423-340-5,162881-26-7,"phenyl bis(2,4,6-trimethylbenzoyl)-phosphine oxide",Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-97d967eb-4c3d-73d3-e044-00144f67d031,Dossier
423-340-5,162881-26-7,"phenyl bis(2,4,6-trimethylbenzoyl)-phosphine oxide",Full,Individual Submission,10 - 100 tonnes per annum,DISS-b2c94cbe-58c3-3b7e-e044-00144f67d031,Dossier
423-340-5,162881-26-7,"phenyl bis(2,4,6-trimethylbenzoyl)-phosphine oxide",Full,Individual Submission,10 - 100 tonnes per annum,DISS-b8dce85c-310a-6120-e044-00144f67d031,Dossier
423-340-5,162881-26-7,"phenyl bis(2,4,6-trimethylbenzoyl)-phosphine oxide",Full,Individual Submission,10 - 100 tonnes per annum,DISS-d0190039-5048-4817-e044-00144f67d249,Dossier
423-340-5,162881-26-7,"phenyl bis(2,4,6-trimethylbenzoyl)-phosphine oxide",Full,Individual Submission,1 - 10 tonnes per annum,DISS-d38d0a59-b561-5daa-e044-00144f67d249,Dossier
423-340-5,162881-26-7,"phenyl bis(2,4,6-trimethylbenzoyl)-phosphine oxide",Full,Individual Submission,10 - 100 tonnes per annum,DISS-e7627168-f6c1-63fd-e044-00144f67d031,Dossier
423-370-9,,423-370-9,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4270dbc-4cc5-3cfc-e044-00144f67d031,Dossier
423-400-0,,"1,3,5-tris[(2S and 2R)-2,3-epoxypropyl]-1,3,5-triazine-2,4,6-(1H,3H,5H)-trione",NONS,Individual Submission,Tonnage Data Confidential,DISS-c4271259-44b2-3ee0-e044-00144f67d031,Dossier
423-430-4,,423-430-4,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4271349-0a4a-413d-e044-00144f67d031,Dossier
423-460-8,,2-phenylhexanenitrile,NONS,Individual Submission,Tonnage Data Confidential,DISS-c427210e-2e71-4685-e044-00144f67d031,Dossier
423-500-4,"138401-24-8,  ","4'-((2-butyl-4-oxo-1,3-diazaspiro[4.4]non-1-ene-3-yl)methyl)(1,1'-biphenyl)-2-carbonitrile",Intermediate,Individual Submission,1 + tonnes per annum,DISS-a6502c47-e4a1-4085-e044-00144f67d249,Dossier
423-520-3,,"A mixture of: 2-methylsulfanyl-4,6-bis-(2-hydroxy-4-methoxy-phenyl)-1,3,5-triazine; 2-(4,6-bis-methylsulfanyl-1,3,5-triazin-2-yl)-5-methoxy-phenol",NONS,Individual Submission,Tonnage Data Confidential,DISS-bead6716-3571-22e1-e044-00144f67d031,Dossier
423-530-8,,423-530-8,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4272157-b532-468f-e044-00144f67d031,Dossier
423-540-2,,423-540-2,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4271da8-5925-4512-e044-00144f67d031,Dossier
423-550-7,,423-550-7,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4271cdb-12ce-44a3-e044-00144f67d031,Dossier
423-570-6,169314-88-9,ALUMINIUM-MAGNESIUM-ZINC-CARBONATE-HYDROXIDE,Full,Joint Submission,"1,000 + tonnes per annum",DISS-bead4d7e-fede-1d7f-e044-00144f67d031,Dossier
423-580-0,,Not Available,NONS,Individual Submission,Tonnage Data Confidential,DISS-beacaa40-0c1f-6c46-e044-00144f67d031,Dossier
423-610-2,,"Reaction product of starch, with sodium Z-ethylaminodipropionate",NONS,Individual Submission,Tonnage Data Confidential,DISS-c4272005-097f-4625-e044-00144f67d031,Dossier
423-620-7,,"2-[(2,3-dihydro-1,3-dioxo-1H-isoindol-5-yl)azo]-N-(2,4-dimethylphenyl)-3-oxobutanamide",NONS,Individual Submission,Tonnage Data Confidential,DISS-c42721e6-f4ab-46be-e044-00144f67d031,Dossier
423-630-1, ,423-630-1,NONS,Individual Submission,Tonnage Data Confidential,DISS-beaca9cc-58b8-6c3a-e044-00144f67d031,Dossier
423-640-6,,N-ethyl-N-(3-methylphenyl)propionamide,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4272021-c65f-4627-e044-00144f67d031,Dossier
423-670-1,,"A mixture of: 2-methylnonanedioic acid 2,4-dimethyl-4-methoxycarbonylundecanedioic acid 2,4,6-trimethyl-4,6-dimethoxycarbonyltridecanedioic acid 8,9-dimethyl-8,9-dimethoxycarbonylhexadecanedioic acid",NONS,Individual Submission,Tonnage Data Confidential,DISS-beacaa9d-e2d3-6c63-e044-00144f67d031,Dossier
423-680-4,,2-mercaptothiazole,NONS,Individual Submission,Tonnage Data Confidential,DISS-c427202a-ff8d-4629-e044-00144f67d031,Dossier
423-700-1,,butylchlorodimethylsilane,NONS,Individual Submission,Tonnage Data Confidential,DISS-c42720dd-f150-4683-e044-00144f67d031,Dossier
423-710-6, ,C-MATE,NONS,Individual Submission,Tonnage Data Confidential,DISS-beaca0bd-4cb6-69a6-e044-00144f67d031,Dossier
423-730-5, ,Disodium 4-substituted-3-[(4-{[2-(sulfonatooxy)ethyl]sulfonyl}aryl)diazenyl]polycycle-1-sulfonate,NONS,Individual Submission,Tonnage Data Confidential,DISS-beacaa6d-9942-6c60-e044-00144f67d031,Dossier
423-740-1,10461-98-0,2-Cyclohexylidene-2-phenyl-acetonitrile,NONS,Individual Submission,Tonnage Data Confidential,DISS-beacb3ed-aab3-6de5-e044-00144f67d031,Dossier
423-750-4,,K-Corr 100,NONS,Individual Submission,Tonnage Data Confidential,DISS-c425785b-0661-64f9-e044-00144f67d031,Dossier
423-760-9,,423-760-9,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4271d95-6f02-450a-e044-00144f67d031,Dossier
423-770-3,,"trisodium 2-{α[2-hydroxy-3-[4-chloro-6-[4-(2,3-dibromopropionylamino)-2-sulfonatophenylamino]-1,3,5-triazin-2-ylamino]-5-sulfonatophenylazo]-benzylidenehydrazino}-4-sulfonatobenzoate, copper complex",NONS,Individual Submission,Tonnage Data Confidential,DISS-beaca451-23bc-6a4f-e044-00144f67d031,Dossier
423-800-5,7305-71-7,2-amino-5-methylthiazole,Intermediate,Individual Submission,Intermediate Use Only,DISS-d0199660-c9f6-4018-e044-00144f67d249,Dossier
423-820-4,,423-820-4,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4271ed2-f223-4584-e044-00144f67d031,Dossier
423-840-3,14691-89-5,423-840-3,NONS,Individual Submission,Tonnage Data Confidential,DISS-beacafad-0cdc-6d2c-e044-00144f67d031,Dossier
423-860-2,56309-94-5,423-860-2,NONS,Individual Submission,1 + tonnes per annum,DISS-beacad4a-5d8d-6cd5-e044-00144f67d031,Dossier
423-870-7,,423-870-7,NONS,Individual Submission,Tonnage Data Confidential,DISS-c42721b7-854f-46b3-e044-00144f67d031,Dossier
423-880-1,,"Reaction product of bis(5-benzoyl-2,3,4-trihydroxyphenyl)methane and 3-diazo-3,4-dihydro-4-oxonaphthalene-1-sulfonylchloride",NONS,Individual Submission,Tonnage Data Confidential,DISS-c42731c3-1ba4-4e2b-e044-00144f67d031,Dossier
423-890-6,,423-890-6,NONS,Individual Submission,Tonnage Data Confidential,DISS-c42741d7-98c4-55db-e044-00144f67d031,Dossier
423-920-8,,4-(4-hydroxyphenyl)cyclohexanone,NONS,Individual Submission,Tonnage Data Confidential,DISS-c42740a5-2ea3-556c-e044-00144f67d031,Dossier
423-930-2,"1184-85-6,  ",N-methylmethanesulfonamide,NONS,Individual Submission,1 + tonnes per annum,DISS-beacae0d-abd5-6cf1-e044-00144f67d031,Dossier
423-940-7,,"A mixture of: disodium 6-[3-carboxy-4,5-dihydro-5-oxo-4-sulfonatophenyl)pyrazolin-4-yl-azo]-3-[2-oxido-4-(ethensulfonyl)-5-methoxyphenylazo]-4-oxidonaphthalene-2-sulfonate copper (II) complex; disodium 6-[3-carboxy-4,5-dihydro-5-oxo-4-sulfonatophenyl)pyrazolin-4-yl-azo]-3-[2-oxido-4-(2-hydroxyethylsulfonyl)-5-methoxyphenylazo]-4-oxidonaphthalene-2-sulfonate copper (II) complex;",NONS,Individual Submission,Tonnage Data Confidential,DISS-c42740f3-7ab6-5592-e044-00144f67d031,Dossier
423-950-1,,423-950-1,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4274138-f163-55c7-e044-00144f67d031,Dossier
423-960-6, ,423-960-6,NONS,Individual Submission,Tonnage Data Confidential,DISS-beacaf18-5631-6d1c-e044-00144f67d031,Dossier
423-970-0, ,"trisodium 2,4-diamino-3,5-bis-[4-(2-sulfonatoethoxy)sulfonyl)phenylazo]benzenesulfonate",NONS,Individual Submission,Tonnage Data Confidential,DISS-beaca7a4-6292-6ae1-e044-00144f67d031,Dossier
423-980-5,,423-980-5,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4274754-447f-57e5-e044-00144f67d031,Dossier
424-030-2,,"8,8-dimethyl-7-isopropyl-6,10-dioxaspiro[4,5]decane",NONS,Individual Submission,Tonnage Data Confidential,DISS-c427482b-0b82-57f5-e044-00144f67d031,Dossier
424-060-6,6364-17-6,"2,3-dihydro-2,2-dimethyl-1H-perimidine",Full,Individual Submission,1 - 10 tonnes per annum,DISS-828de378-bb83-1369-e044-00144fd73934,Dossier
424-060-6,,424-060-6,NONS,Individual Submission,Tonnage Data Confidential,DISS-c42749b9-287f-5ac9-e044-00144f67d031,Dossier
424-090-1,10097-02-6,"2,2-bis(hydroxymethyl)butanoic acid",Full,Joint Submission,1 - 10 tonnes per annum,DISS-e5a0779b-8b65-00b9-e044-00144f67d031,Dossier
424-090-1,10097-02-6,"2,2-bis(hydroxymethyl)butanoic acid",NONS,Individual Submission,Tonnage Data Confidential,DISS-bead6de5-d68b-243d-e044-00144f67d031,Dossier
424-100-2,,potassium bis(trimethylsilyl)amide,NONS,Individual Submission,Tonnage Data Confidential,DISS-c429d063-32ea-2d05-e044-00144f67d031,Dossier
424-110-7,,2-ethoxy-5-(4-methyl-1-piperazinylsulfonyl)benzoic acid,NONS,Individual Submission,Tonnage Data Confidential,DISS-c427456f-74e1-5736-e044-00144f67d031,Dossier
424-140-0,2388-10-5,lithium isopropoxide,NONS,Individual Submission,Intermediate Use Only,DISS-beaca7b9-b2b3-6ae6-e044-00144f67d031,Dossier
424-150-5,,424-150-5,NONS,Individual Submission,Tonnage Data Confidential,DISS-c427454b-914e-572e-e044-00144f67d031,Dossier
424-160-1,,424-160-1,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4274d0d-16df-5bcc-e044-00144f67d031,Dossier
424-170-4,130603-71-3,"3-(6-O-(6-desoxy-α-L-mannopyranosyl-O-(α-D-glucopyranosyl)-(β-D-glucopyranosyl)oxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4H-1-benzopyran-4-one",NONS,Individual Submission,Tonnage Data Confidential,DISS-beacb7cc-296a-6e7c-e044-00144f67d031,Dossier
424-190-3,,"2,3,4,4'-tetrakis(6-diazo-5,6-dihydro-5-oxo-1-naphthylsulfonato)benzophenone",NONS,Individual Submission,Tonnage Data Confidential,DISS-c4274a4e-d08a-5b06-e044-00144f67d031,Dossier
424-210-0,23911-85-5,"2,2''-dihydroxy-4,4''-(2-hydroxy-propane-1,3-diyldioxy)diben_x000D_zophenone",Full,Joint Submission,1 - 10 tonnes per annum,DISS-d38d0c25-4ca4-61f6-e044-00144f67d249,Dossier
424-210-0,,424-210-0,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4274cfb-6c8c-5bca-e044-00144f67d031,Dossier
424-240-4,96478-09-0,2-(2-hydroxy-5-(2-(methacryloyloxy)ethyl)phenyl)-2H-benzotriazole,Full,Individual Submission,1 - 10 tonnes per annum,DISS-b6b1eed2-c179-486c-e044-00144f67d031,Dossier
424-240-4,,424-240-4,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4274db5-0884-5bf6-e044-00144f67d031,Dossier
424-250-9,,"Reaction product of: 2-[[4-amino-2-ureidophenylazo]-5-[(2-(sulfooxy)ethyl)sulfonyl]]benzenesulfonic acid with 2,4,6-trifluoropyrimidine and partial hydrolysis to the corresponding vinylsulfonyl derivative,mixed potassium/sodium salt",NONS,Individual Submission,Tonnage Data Confidential,DISS-beacbae1-bc11-7066-e044-00144f67d031,Dossier
424-260-3,,"2-{4-(2-ammoniopropylamino)-6-[4-hydroxy-3-(5-methyl-2-methoxy-4-sulfamoylphenylazo)-2-sulfonatonaphth-7-ylamino]-1,3,5-triazin-2-ylamino}-2-aminopropyl formate",NONS,Individual Submission,Tonnage Data Confidential,DISS-c42759f6-9195-610b-e044-00144f67d031,Dossier
424-270-8,,A mixture of isomers of: sodium [(2-hydroxyethylsulfamoyl){[2-(2-piperazin-1-ylethylamino)ethylsulfamoyl][2-(4-aminoethylpiperazine-1-yl)ethylsulfamoyl](sulfamoyl)}(sulfonatophthalocyaninato)]copper(II),NONS,Individual Submission,Tonnage Data Confidential,DISS-beacbb16-a274-7068-e044-00144f67d031,Dossier
424-280-2,51594-55-9,"(R)-1-chloro-2,3-epoxypropane",NONS,Individual Submission,Tonnage Data Confidential,DISS-beacb3db-ac7a-6de3-e044-00144f67d031,Dossier
424-290-7, ,[Name not available],NONS,Individual Submission,Tonnage Data Confidential,DISS-beacb30e-0bab-6dd5-e044-00144f67d031,Dossier
424-310-4,"178452-66-9,  ","3-(2,4-bis(4-((5-(4,6-bis(2-aminopropylamino)-1,3,5-triazin-2-ylamino)-4-hydroxy-2,7-disulfonaphthalen-3-yl)azo)phenylamino)-1,3,5-triazin-6-ylamino)propyldiethylammonium lactate",Full,Joint Submission,1 + tonnes per annum,DISS-c4254f30-3278-4f9c-e044-00144f67d031,Dossier
424-320-9,,"A mixture of: pentasodium 5-amino-3-(5-{4-chloro-6-[4-(2-sulfoxyethoxysulfonato)phenylamino]-1,3,5-triazin-2-ylamino}-2-sulfonatophenylazo)-6-[5-(2,3-dibromopropionylamino)-2-sulfonatophenylazo]-4-hydroxynaphthalene-2,7-disulfonate; pentasodium 5-amino-6-[5-(2-bromoacryloylamino)-2-sulfonatophenylazo]-3-(5-{4-chloro-6-[4-(2-sulfoxyethoxysulfonato)phenylamino]-1,3,5-triazin-2-ylamino}-2-sulfonatophenylazo)-4-hydroxynaphthalene-2,7-disulfonate; tetrasodium 5-amino-3-[5-{4-chloro-6-[4-(vinylsulfonyl)phenylamino]-1,3,5-triazin-2-ylamino}-2-sulfonatophenylazo]-6-[5-(2,3-dibromopropionylamino)-2-sulfonatophenylazo]-4-hydroxynaphthalene-2,7-disulfonate",NONS,Individual Submission,Tonnage Data Confidential,DISS-beacb416-8370-6de7-e044-00144f67d031,Dossier
424-330-3,,424-330-3,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4275705-396e-600a-e044-00144f67d031,Dossier
424-370-1,,424-370-1,NONS,Individual Submission,Tonnage Data Confidential,DISS-c429acd3-fd74-1b63-e044-00144f67d031,Dossier
424-380-6,43057-68-7,"2-Ethyl-2,3-dihydro-2-methyl-1H-_x000D_perimidine",Full,Individual Submission,1 - 10 tonnes per annum,DISS-828de353-3d80-1350-e044-00144fd73934,Dossier
424-380-6,,424-380-6,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4275b2c-2773-63a1-e044-00144f67d031,Dossier
424-390-0,,424-390-0,NONS,Individual Submission,Tonnage Data Confidential,DISS-c42753e7-8a8d-5ead-e044-00144f67d031,Dossier
424-410-8,,(C14-C30-alkyl)phenyl-3-tolyliodonium trifluoromethansulfonate,NONS,Individual Submission,Tonnage Data Confidential,DISS-c427582f-9d6d-6054-e044-00144f67d031,Dossier
424-430-7,,424-430-7,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4282430-f770-4e40-e044-00144f67d031,Dossier
424-440-1,,424-440-1,NONS,Individual Submission,Tonnage Data Confidential,DISS-c42759d0-c728-60fb-e044-00144f67d031,Dossier
424-450-6,152628-03-0,4-Methyl-2-propylbenzimidazole-6-carboxylic acid,Intermediate,Individual Submission,Intermediate Use Only,DISS-a21049a5-88e2-24c7-e044-00144f67d031,Dossier
424-450-6,,424-450-6,NONS,Individual Submission,Tonnage Data Confidential,DISS-c427558d-130c-5f55-e044-00144f67d031,Dossier
424-460-0,283167-56-6,N-Methyl-o-phenylenediamine  0.77 phosphate,Intermediate,Individual Submission,Intermediate Use Only,DISS-9fe8ae23-0908-5951-e044-00144f67d031,Dossier
424-460-0, ,424-460-0,NONS,Individual Submission,Tonnage Data Confidential,DISS-beacb53d-ffbf-6e37-e044-00144f67d031,Dossier
424-490-4,,424-490-4,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4272e67-acd7-4ccb-e044-00144f67d031,Dossier
424-500-7,,424-500-7,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4273496-2c80-4eea-e044-00144f67d031,Dossier
424-510-1,,424-510-1,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4273678-a0d8-4fa6-e044-00144f67d031,Dossier
424-530-0, ,[Name not available],NONS,Individual Submission,Intermediate Use Only,DISS-beacbcd3-eb04-70b7-e044-00144f67d031,Dossier
424-550-1,,424-550-1,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4273639-7a26-4f78-e044-00144f67d031,Dossier
424-560-4,151257-01-1,"2-butyl-1,3-diazaspiro[4.4]non-1-en-4-one hydrochloride",Intermediate,Individual Submission,Intermediate Use Only,DISS-9fdd23dc-bd1c-1997-e044-00144f67d031,Dossier
424-560-4,"151257-01-1,  ","2-butyl-1,3-diazaspiro[4.4]non-1-en-4-one hydrochloride",Intermediate,Individual Submission,1 + tonnes per annum,DISS-a64ee602-032a-259c-e044-00144f67d249,Dossier
424-580-3,,424-580-3,NONS,Individual Submission,Tonnage Data Confidential,DISS-c42732ee-aacf-4e78-e044-00144f67d031,Dossier
424-590-8,98298-66-9,chloro-1-ethyl isopropyl carbonate,Intermediate,Joint Submission,Intermediate Use Only,DISS-c4c521c7-7ac1-60e3-e044-00144f67d031,Dossier
424-590-8,,chloro-1-ethyl isopropyl carbonate,NONS,Individual Submission,Tonnage Data Confidential,DISS-c42732cf-4284-4e74-e044-00144f67d031,Dossier
424-600-0,,424-600-0,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4273369-93f8-4e88-e044-00144f67d031,Dossier
424-630-4,,424-630-4,NONS,Individual Submission,Tonnage Data Confidential,DISS-c42736fe-8a4e-51ec-e044-00144f67d031,Dossier
424-640-9,,424-640-9,NONS,Individual Submission,Tonnage Data Confidential,DISS-c428243f-4791-4e42-e044-00144f67d031,Dossier
424-650-3,,424-650-3,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4273881-2856-52a2-e044-00144f67d031,Dossier
424-660-8, ,424-660-8,NONS,Individual Submission,1 + tonnes per annum,DISS-beacbf23-13fc-712b-e044-00144f67d031,Dossier
424-690-1,,424-690-1,NONS,Individual Submission,Tonnage Data Confidential,DISS-c42739be-670c-530e-e044-00144f67d031,Dossier
424-740-2, ,[Name not available],NONS,Individual Submission,Intermediate Use Only,DISS-bead6e2f-1a97-243f-e044-00144f67d031,Dossier
424-750-7, ,L-t-Leu,NONS,Individual Submission,Tonnage Data Confidential,DISS-beacbeca-d425-710f-e044-00144f67d031,Dossier
424-780-0,,424-780-0,NONS,Individual Submission,Tonnage Data Confidential,DISS-c429e237-0afe-3583-e044-00144f67d031,Dossier
424-810-2,124832-31-1,"2-[(2-amino-6-oxo-3,6-dihydro-9H-purin-9-yl)methoxy]ethyl N-[(benzyloxy)carbonyl]-L-valinate _x000D_
_x000D_
",Intermediate,Joint Submission,Intermediate Use Only,DISS-b2c926f5-f2a0-3332-e044-00144f67d031,Dossier
424-820-7,,Reaction product of alkylthioalcohol and substituted phosphorus compound,NONS,Individual Submission,Tonnage Data Confidential,DISS-beacb526-d69d-6e35-e044-00144f67d031,Dossier
424-850-0,,424-850-0,NONS,Individual Submission,Tonnage Data Confidential,DISS-c429899b-4273-0b70-e044-00144f67d031,Dossier
424-860-5,,424-860-5,NONS,Individual Submission,Tonnage Data Confidential,DISS-c427368b-52b3-4faf-e044-00144f67d031,Dossier
424-870-1,"27624-67-5,  ",Polysubstituted-5-[4-[(2-sulfoxyl ethyl) sulfonyl]arylazo]benzenesulfonic acid,NONS,Individual Submission,Tonnage Data Confidential,DISS-beacbe33-b3c6-70ee-e044-00144f67d031,Dossier
424-880-4, ,[Name not available],NONS,Individual Submission,Tonnage Data Confidential,DISS-beacbe00-de09-70ec-e044-00144f67d031,Dossier
424-900-1,,424-900-1,NONS,Individual Submission,Tonnage Data Confidential,DISS-c42739ec-5b3d-5320-e044-00144f67d031,Dossier
424-920-0,,424-920-0,NONS,Individual Submission,Tonnage Data Confidential,DISS-c427671c-8fd9-67ea-e044-00144f67d031,Dossier
424-970-3,,424-970-3,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4276ab9-4546-690e-e044-00144f67d031,Dossier
424-980-8,,424-980-8,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4276b50-a004-6937-e044-00144f67d031,Dossier
425-000-1,61718-80-7,5-methoxy-4'-(trifluoromethyl)valerophenone,NONS,Individual Submission,Intermediate Use Only,DISS-beacc400-1bda-71f1-e044-00144f67d031,Dossier
425-020-0,191680-81-6,"reaction products of N,N'-ethane-1,2-diylbis(1,3-propanediamine), cyclohexane, peroxidized 4-butylamino-2,2,6,6-tetramethylpiperidine and 2,4,6-trichloro-1,3,5-triazine",Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-c4c0573a-e6a2-7512-e044-00144f67d031,Dossier
425-020-0,191680-81-6,"reaction products of N,N'-ethane-1,2-diylbis(1,3-propanediamine), cyclohexane, peroxidized 4-butylamino-2,2,6,6-tetramethylpiperidine and 2,4,6-trichloro-1,3,5-triazine",NONS,Individual Submission,Tonnage Data Confidential,DISS-beacc19a-646e-71a1-e044-00144f67d031,Dossier
425-030-5, ,[Name not available],NONS,Individual Submission,Intermediate Use Only,DISS-beacca4b-7225-72dc-e044-00144f67d031,Dossier
425-050-4,,425-050-4,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4276d35-bc25-6be1-e044-00144f67d031,Dossier
425-060-9,,425-060-9,NONS,Individual Submission,Tonnage Data Confidential,DISS-c42769a2-bda5-68d3-e044-00144f67d031,Dossier
425-080-8,,425-080-8,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4276dd9-1ae9-6c2a-e044-00144f67d031,Dossier
425-090-2,86087-23-2,(S)-tetrahydrofuran-3-ol,Intermediate,Joint Submission,Intermediate Use Only,DISS-9ffc390c-c076-4913-e044-00144f67d031,Dossier
425-110-1,,425-110-1,NONS,Individual Submission,Tonnage Data Confidential,DISS-c429df76-31af-349f-e044-00144f67d031,Dossier
425-120-4,,425-120-4,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4276933-c65e-68a6-e044-00144f67d031,Dossier
425-150-8, ,625-TRIKETON,NONS,Individual Submission,Intermediate Use Only,DISS-beaccbef-8d96-7372-e044-00144f67d031,Dossier
425-170-7,,"A mixture of: (4aR-cis)-6-benzyl-5,7-dioxooctahydropyrrolo[3,4-b]pyridine; (4aS-cis)-6-benzyl-5,7-dioxooctahydropyrrolo[3,4-b]pyridine",NONS,Individual Submission,Tonnage Data Confidential,DISS-c4276de5-5052-6c2d-e044-00144f67d031,Dossier
425-180-1,66170-10-3,425-180-1,Full,Individual Submission,10 + tonnes per annum,DISS-a6501ab0-d169-32f1-e044-00144f67d249,Dossier
425-200-9,,425-200-9,NONS,Individual Submission,Tonnage Data Confidential,DISS-c4276b82-3af0-695b-e044-00144f67d031,Dossier
425-220-8,181028-79-5,"(1-methylethylidene)di-4,1-phenylenetetraphenyl diphosphate",Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-937ea041-59e4-1956-e044-00144f67d249,Dossier
425-220-8,5945-33-5,"(1-methylethylidene)di-4,1-phenylenetetraphenyl diphosphate",Full,Individual Submission,10 - 100 tonnes per annum,DISS-d01953ce-92bc-1326-e044-00144f67d249,Dossier
425-220-8,5945-33-5,"2,2-Bis[4-[bis(phenoxy)phosphoryloxy]phenyl]propane",Full,Individual Submission,"100 - 1,000 tonnes per annum",DISS-9e9b872b-21f6-3281-e044-00144f67d031,Dossier
