EC / List No.,CAS No.,Name,Registration Type,Submission Type,Total Tonnage Band,Dossier ID,Link
233-226-5,10094-45-8,(Z)-N-octadecyldocos-13-enamide,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dffb4072-e44b-47ae-e044-00144f67d031,Dossier
233-237-5,"10099-58-8,  ","lanthanum chloride, anhydrous",Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9ec169ad-4aa4-0947-e044-00144f67d031,Dossier
233-238-0,10099-59-9,lanthanum trinitrate,Intermediate,Joint Submission,Intermediate Use Only,DISS-dffb4072-e434-47ae-e044-00144f67d031,Dossier
233-245-9,10099-74-8,lead dinitrate,Full,Joint Submission,10 - 100 tonnes per annum,DISS-9eac6c76-027e-349e-e044-00144f67d031,Dossier
233-251-1,10101-50-5,sodium permanganate,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-9875dd5c-66cf-6219-e044-00144f67d031,Dossier
233-254-8,10101-58-3,cobalt wolframate,Intermediate,Joint Submission,Intermediate Use Only,DISS-9ea28de5-a792-5fe2-e044-00144f67d031,Dossier
233-257-4,10101-66-3,ammonium manganese(3+) diphosphate,Full,Joint Submission,10 - 100 tonnes per annum,DISS-dffb4072-e3c5-47ae-e044-00144f67d031,Dossier
233-267-9,10102-18-8,sodium selenite,Full,Joint Submission,10 - 100 tonnes per annum,DISS-e1a0ab01-db96-2fde-e044-00144f67d031,Dossier
233-296-7,10108-64-2,cadmium chloride,Full,Joint Submission,1 - 10 tonnes per annum,DISS-9e9ea958-37d1-0e76-e044-00144f67d031,Dossier
233-297-2,10108-73-3,cerium trinitrate,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dffb4072-e477-47ae-e044-00144f67d031,Dossier
233-302-8,10109-95-2,"2,5-dianilinoterephthalic acid",Intermediate,Joint Submission,Intermediate Use Only,DISS-abd1a7aa-7d4c-6f7f-e044-00144f67d249,Dossier
233-321-1,10117-38-1,potassium sulphite,Full,Joint Submission,"10,000 - 100,000 tonnes per annum",DISS-9eac2cb3-62ae-143a-e044-00144f67d031,Dossier
233-331-6,10124-36-4,cadmium sulphate,Intermediate,Joint Submission,Intermediate Use Only,DISS-9ea190a4-7dea-4b9f-e044-00144f67d031,Dossier
233-332-1,10124-37-5,calcium nitrate,Full,Joint Submission,"100,000 - 1,000,000 tonnes per annum",DISS-9eb06027-a85b-0d5a-e044-00144f67d031,Dossier
233-333-7,10124-41-1,calcium thiosulphate,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-e18edfe9-02b9-58ce-e044-00144f67d031,Dossier
233-334-2,10124-43-3,cobalt sulphate,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9c84b590-a1e1-7043-e044-00144f67d249,Dossier
233-334-2,10124-43-3,cobalt sulphate,Intermediate,Individual Submission,Intermediate Use Only,DISS-9e9d6d0a-36e1-4e3d-e044-00144f67d031,Dossier
233-343-1,10124-56-8,sodium metaphosphate,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9ec06a0b-5c2c-6adc-e044-00144f67d031,Dossier
233-402-1,10141-05-6,cobalt dinitrate,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9d99ce8d-9ef2-38fb-e044-00144f67d249,Dossier
233-402-1,10141-05-6,cobalt dinitrate,Intermediate,Individual Submission,Intermediate Use Only,DISS-a135ef44-e027-3785-e044-00144f67d031,Dossier
233-433-0,10163-15-2,disodium fluorophosphate,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9eb021a5-12d9-5e8d-e044-00144f67d031,Dossier
233-467-6,10191-60-3,"S,S-dimethyl cyanoimidodithiocarbonate",Intermediate,Individual Submission,Intermediate Use Only,DISS-d6b24ada-1f32-31a0-e044-00144f67d031,Dossier
233-469-7,10192-30-0,ammonium hydrogensulphite,Full,Joint Submission,"10,000 - 100,000 tonnes per annum",DISS-9eb5063e-2f69-4964-e044-00144f67d031,Dossier
233-484-9,10196-04-0,ammonium sulphite,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-e18edfe9-02c5-58ce-e044-00144f67d031,Dossier
233-560-1,10233-13-3,isopropyl laurate,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9ea9c34d-b1e5-2571-e044-00144f67d031,Dossier
233-593-1,10254-57-6,"4,4'-methylene bis(dibutyldithiocarbamate)",Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dcede1ff-8790-46da-e044-00144f67d031,Dossier
233-596-8,10257-55-3,calcium sulphite,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-dffb4072-e412-47ae-e044-00144f67d031,Dossier
233-651-6,10291-28-8,"2,5-bis(p-toluidino)terephthalic acid",Intermediate,Individual Submission,Intermediate Use Only,DISS-a1333a83-88a9-447a-e044-00144f67d031,Dossier
233-653-7,10294-26-5,disilver(1+) sulphate,Full,Joint Submission,1 - 10 tonnes per annum,DISS-c4c2db48-6ed5-3d79-e044-00144f67d031,Dossier
233-658-4,10294-34-5,boron trichloride,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dbbdc9db-c08e-25d4-e044-00144f67d031,Dossier
233-662-6,10294-54-9,caesium sulphate,Full,Joint Submission,10 - 100 tonnes per annum,DISS-dffb4072-e379-47ae-e044-00144f67d031,Dossier
233-666-8,10294-66-3,potassium thiosulphate,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9ea2cff5-b4c4-0f79-e044-00144f67d031,Dossier
233-710-6,10325-94-7,cadmium nitrate,Full,Joint Submission,10 - 100 tonnes per annum,DISS-9ebd8667-5a43-3f56-e044-00144f67d031,Dossier
233-713-2,10326-41-7,(R)-lactic acid,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9eae9ea1-66a7-0563-e044-00144f67d031,Dossier
